Data,Loja,Status
"02-04-2018 12:06:06",EVCO_1615_FA1_CG1,1
"02-04-2018 12:06:06",EVCO_1615_FA1_RF1,1
"02-04-2018 12:06:07",EVCO_1629_FA1_CG1,0
"02-04-2018 12:06:07",EVCO_1629_FA1_RF1,1
"02-04-2018 12:06:08",EVCO_1632_FA1_CG1,1
"02-04-2018 12:06:08",EVCO_1632_FA1_RF1,1
"02-04-2018 12:06:09",EVCO_1640_FA1_CG1,1
"02-04-2018 12:06:09",EVCO_1640_FA1_RF1,1
"02-04-2018 12:06:11",EVCO_1643_FA1_CG1,0
"02-04-2018 12:06:11",EVCO_1643_FA1_RF1,0
"02-04-2018 12:06:13",EVCO_1669_FA1_CG1,1
"02-04-2018 12:06:13",EVCO_1669_FA1_RF1,0
"02-04-2018 12:06:52",EVCO_1734_FA1_CG1,1
"02-04-2018 12:06:52",EVCO_1734_FA1_RF1,1
"02-04-2018 12:07:20",EVCO_1743_FA1_CG1,0
"02-04-2018 12:07:20",EVCO_1743_FA1_RF1,1
"02-04-2018 12:08:15",EVCO_1758_FA1_CG1,1
"02-04-2018 12:08:15",EVCO_1758_FA1_RF1,1
"02-04-2018 12:08:15",EVCO_1759_FA1_CG1,1
"02-04-2018 12:08:15",EVCO_1759_FA1_RF1,1
"02-04-2018 12:08:44",EVCO_1768_FA1_CG1,1
"02-04-2018 12:08:44",EVCO_1768_FA1_RF1,0
"02-04-2018 12:09:35",EVCO_1786_FA1_CG1,0
"02-04-2018 12:09:35",EVCO_1786_FA1_RF1,0
"02-04-2018 12:09:35",EVCO_1788_FA1_CG1,0
"02-04-2018 12:09:35",EVCO_1788_FA1_RF1,0
"02-04-2018 12:10:00",EVCO_1796_FA1_CG1,1
"02-04-2018 12:10:00",EVCO_1796_FA1_RF1,1
"02-04-2018 12:10:16",EVCO_1814_FA1_CG1,1
"02-04-2018 12:10:16",EVCO_1814_FA1_RF1,1
"02-04-2018 12:10:25",EVCO_1835_FA1_CG1,0
"02-04-2018 12:10:25",EVCO_1835_FA1_RF1,0
"02-04-2018 12:10:25",EVCO_1835_FA2_CG1,0
"02-04-2018 12:12:34",EVCO_1887_FA1_CG1,1
"02-04-2018 12:12:34",EVCO_1887_FA1_RF1,1
"02-04-2018 12:12:46",EVCO_2318_FA1_CG1,1
"02-04-2018 12:12:46",EVCO_2318_FA1_RF1,1
"02-04-2018 12:12:57",EVCO_2333_FA1_CG1,1
"02-04-2018 12:12:57",EVCO_2333_FA1_RF1,1
"02-04-2018 12:12:58",EVCO_2352_FA1_CG1,1
"02-04-2018 12:12:58",EVCO_2352_FA1_RF1,0
"02-04-2018 12:07:29",EVCO_2430_FA1_CG1,1
"02-04-2018 12:07:29",EVCO_2430_FA1_RF1,1
"02-04-2018 12:07:51",EVCO_2461_FA1_CG1,1
"02-04-2018 12:07:51",EVCO_2461_FA1_RF1,1
"02-04-2018 12:08:05",EVCO_2464_FA1_CG1,1
"02-04-2018 12:08:05",EVCO_2464_FA1_RF1,0
"02-04-2018 12:03:39",HONE_0007_FA1_CG1,1
"02-04-2018 12:03:45",HONE_0007_FA1_RF1,1
"02-04-2018 12:03:49",HONE_0018_FA1_CG1,1
"02-04-2018 12:03:59",HONE_0018_FA1_RF1,1
"02-04-2018 12:04:02",HONE_0021_FA1_CG1,1
"02-04-2018 12:04:07",HONE_0021_FA1_RF1,0
"02-04-2018 12:04:09",HONE_0025_FA1_CG1,1
"02-04-2018 12:04:14",HONE_0025_FA1_RF1,1
"02-04-2018 12:04:17",HONE_0037_FA1_CG1,0
"02-04-2018 12:04:27",HONE_0037_FA1_RF1,1
"02-04-2018 12:04:31",HONE_0087_FA1_CG1,1
"02-04-2018 12:04:36",HONE_0087_FA1_RF1,1
"02-04-2018 12:04:38",HONE_0107_FA1_CG1,1
"02-04-2018 12:04:43",HONE_0107_FA1_RF1,1
"02-04-2018 12:04:45",HONE_0122_FA1_CG1,0
"02-04-2018 12:04:50",HONE_0122_FA1_RF1,0
"02-04-2018 12:04:54",HONE_0147_FA1_CG1,1
"02-04-2018 12:04:59",HONE_0147_FA1_RF1,1
"02-04-2018 12:12:32",HONE_0189_FA1_CG1,0
"02-04-2018 12:12:42",HONE_0189_FA1_RF1,1
"02-04-2018 12:12:52",HONE_0516_FA1_CG1,0
"02-04-2018 12:12:58",HONE_0516_FA1_RF1,0
"02-04-2018 12:12:59",HONE_0531_FA1_CG1,1
"02-04-2018 12:13:04",HONE_0531_FA1_RF1,1
"02-04-2018 12:13:07",HONE_0597_FA1_CG1,0
"02-04-2018 12:13:18",HONE_0597_FA1_RF1,0
"02-04-2018 12:13:22",HONE_0646_FA1_CG1,1
"02-04-2018 12:13:27",HONE_0646_FA1_RF1,1
"02-04-2018 12:13:30",HONE_0697_FA1_CG1,0
"02-04-2018 12:13:36",HONE_0697_FA1_RF1,0
"02-04-2018 12:13:40",HONE_1013_FA1_CG1,1
"02-04-2018 12:13:45",HONE_1013_FA1_RF1,1
"02-04-2018 12:13:49",HONE_1020_FA1_CG1,0
"02-04-2018 12:13:54",HONE_1020_FA1_RF1,0
"02-04-2018 12:13:55",HONE_1021_FA1_CG1,1
"02-04-2018 12:14:01",HONE_1021_FA1_RF1,1
"02-04-2018 12:14:07",HONE_1214_FA1_CG1,1
"02-04-2018 12:14:17",HONE_1214_FA1_RF1,0
"02-04-2018 12:14:19",HONE_1216_FA1_CG1,0
"02-04-2018 12:14:24",HONE_1216_FA1_RF1,0
"02-04-2018 12:14:27",HONE_1217_FA1_CG1,1
"02-04-2018 12:14:37",HONE_1217_FA1_RF1,1
"02-04-2018 12:14:42",HONE_1221_FA1_CG1,1
"02-04-2018 12:14:48",HONE_1221_FA1_RF1,1
"02-04-2018 12:14:50",HONE_1223_FA1_CG1,1
"02-04-2018 12:14:56",HONE_1223_FA1_RF1,1
"02-04-2018 12:15:14",HONE_1292_FA1_CG1,1
"02-04-2018 12:15:24",HONE_1292_FA1_RF1,0
"02-04-2018 12:15:31",HONE_1299_FA1_CG1,0
"02-04-2018 12:15:41",HONE_1299_FA1_RF1,1
"02-04-2018 12:15:51",HONE_1395_FA1_CG1,0
"02-04-2018 12:16:01",HONE_1395_FA1_RF1,1
"02-04-2018 12:16:06",HONE_1499_FA1_CG1,1
"02-04-2018 12:16:16",HONE_1499_FA1_RF1,1
"02-04-2018 12:05:45",HONE_1507_FA1_CG1,1
"02-04-2018 12:05:55",HONE_1507_FA1_RF1,1
"02-04-2018 12:05:59",HONE_1609_FA1_CG1,1
"02-04-2018 12:06:04",HONE_1609_FA1_RF1,0
"02-04-2018 12:06:17",HONE_1706_FA1_CG1,0
"02-04-2018 12:06:22",HONE_1706_FA1_RF1,0
"02-04-2018 12:06:25",HONE_1711_FA1_CG1,0
"02-04-2018 12:06:30",HONE_1711_FA1_RF1,1
"02-04-2018 12:06:33",HONE_1712_FA1_CG1,1
"02-04-2018 12:06:44",HONE_1712_FA1_RF1,1
"02-04-2018 12:06:46",HONE_1726_FA1_CG1,1
"02-04-2018 12:06:51",HONE_1726_FA1_RF1,1
"02-04-2018 12:06:56",HONE_1739_FA1_RF1,0
"02-04-2018 12:07:09",HONE_1741_FA1_CG1,0
"02-04-2018 12:07:19",HONE_1741_FA1_RF1,0
"02-04-2018 12:07:23",HONE_1745_FA1_CG1,0
"02-04-2018 12:07:33",HONE_1745_FA1_RF1,1
"02-04-2018 12:07:36",HONE_1746_FA1_CG1,0
"02-04-2018 12:07:46",HONE_1746_FA1_RF1,0
"02-04-2018 12:07:50",HONE_1748_FA1_CG1,1
"02-04-2018 12:08:04",HONE_1754_FA1_CG1,1
"02-04-2018 12:08:14",HONE_1754_FA1_RF1,1
"02-04-2018 12:08:17",HONE_1761_FA1_CG1,1
"02-04-2018 12:08:22",HONE_1761_FA1_RF1,1
"02-04-2018 12:08:24",HONE_1763_FA1_CG1,1
"02-04-2018 12:08:29",HONE_1763_FA1_RF1,1
